run_id,epoch,train_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250321_133812,1,0.24496446742492467,0.9304,0.9432310838445808,0.9168323129522143,0.9298443673897266,2025-03-21 13:39:37
20250321_133812,2,0.14753032445299383,0.93568,0.9530772408095828,0.9173093742545917,0.9348513086459769,2025-03-21 13:41:04
20250321_133812,3,0.11672683029758688,0.93968,0.9499227705064629,0.9290768863798998,0.9393841948709704,2025-03-21 13:42:31
20250321_133812,4,0.08612552569026038,0.9368,0.973314969441336,0.8990220243301265,0.9346945523683557,2025-03-21 13:43:58
20250321_133812,5,0.06206768545873311,0.94136,0.9566789971228935,0.9253399061779438,0.940748524775685,2025-03-21 13:45:26
20250321_133812,6,0.04285483182008777,0.93928,0.9493701747257213,0.9288383557287111,0.9389920424403183,2025-03-21 13:46:53
20250321_133812,7,0.03349460602490878,0.93664,0.9393333866197746,0.9344040709231136,0.9368622448979592,2025-03-21 13:48:20
20250321_133812,8,0.023687346458283007,0.93672,0.9528791498475987,0.9196946807664785,0.9359928791066515,2025-03-21 13:49:47
20250321_133812,9,0.019570480303547414,0.94032,0.9545640941523825,0.9254194163950068,0.9397658457811869,2025-03-21 13:51:14
20250321_133812,10,0.014579690598445584,0.94104,0.951818995686498,0.9298719885505288,0.9407175032175032,2025-03-21 13:52:42
20250321_133812,11,0.012172648092402386,0.93984,0.9433101128993514,0.9367098672179375,0.939998404212878,2025-03-21 13:54:09
20250321_133812,12,0.011005202923635287,0.9398,0.9538448926053451,0.9251013755267552,0.9392532795156407,2025-03-21 13:55:36
20250321_133812,13,0.009039666980416292,0.9396,0.9555445789083724,0.9228750894489942,0.9389257401714933,2025-03-21 13:57:03
20250321_133812,14,0.00704336364248286,0.93904,0.9531775317753177,0.9242267631390634,0.9384789278217343,2025-03-21 13:58:31
20250321_133812,15,0.007156523574558625,0.9388,0.9528572599819628,0.9240677427049376,0.9382417050133204,2025-03-21 13:59:58
20250321_133812,16,0.006272665237442457,0.94044,0.9514657980456026,0.928997376162837,0.9400973568813614,2025-03-21 14:01:25
20250321_133812,17,0.007181543905365591,0.94068,0.9490770725388601,0.9320982746282898,0.940511051385936,2025-03-21 14:02:52
20250321_133812,18,0.005226917609217621,0.94068,0.9558678500986193,0.9247833346585036,0.9400687007476258,2025-03-21 14:04:20
20250321_133812,19,0.004274123186937717,0.94172,0.9507133592736705,0.9324958257136042,0.9415164773411472,2025-03-21 14:05:47
20250321_133812,20,0.006036630559132156,0.93704,0.9460072963113093,0.9278047229068935,0.9368175979447656,2025-03-21 14:07:14
